"","lad2014_code","rr_80_84_m","rr_85_89_m","rr_90p_m","rr_80_84_f","rr_85_89_f","rr_90p_f"
"793","E07000103",1.58059210526316,1.63830821584832,0.930555555555556,1.49767441860465,1.48524801770238,1.27111535807188
"799","E07000105",1.21914789899581,1.21725095713535,1.40169224150294,0.951824666597746,1.06633285646161,1.12789807143354
"805","E07000106",1.13834716926242,1.1408,1.33426086956522,1.43086776022681,1.17420578106257,1.27631782005776
"811","E07000107",1.45939153439153,1.5907859894078,1.81673306772908,1.10433604336043,1.42317265556529,1.25648323845667
"817","E07000108",1.02525357375882,1.16454186237233,1.11019719498049,1.15537542866735,0.95711638250556,1.26461657957916
"823","E07000109",0.859937727036845,0.961430836675683,0.850287779413733,1.24096728307255,0.773289665211063,1.11456496178718
"829","E07000110",0.813873274414424,1.24387428238622,1.05940594059406,1.09489829801966,1.10539712593889,1.10587068904469
"835","E07000111",0.905924479166667,1.02715094204456,0.901261852142297,1.02915402763734,1.10844611958198,1.33850598072233
"841","E07000112",1.18260934803811,1.03568211736992,1.1798344620015,1.48596055322237,1.05908932106673,1.08517568522215
"847","E07000113",0.669493441881502,1.27117853655693,1.27220066037189,1.14216873304921,1.51970218444897,1.1067477625681
"853","E07000114",1.19715562442068,1.10157496012759,1.07486886027659,1.18556827473426,1.09255531139531,1.11280417814509
"859","E07000115",0.953360768175583,1.13092563161068,1.06361878316061,0.836320754716981,1.45266544117647,1.40962031213604
"865","E07000116",1.0191,1.18204804045512,0.821027550260611,0.952211282558427,1.30176753728399,1.29325966850829
"871","E07000117",1.14922689679971,0.930803571428571,0.85880829015544,1.01242236024845,0.952818909224685,1.18181202600217
"877","E07000118",1.04827491219613,1.0166475315729,1.09581881533101,0.896183953033268,1.01810353263529,1.09004943047496
"883","E07000119",1.04907678795235,0.955676393411527,1.1117272996155,0.85150464155306,1.30544554455446,1.22615050365396
"889","E07000120",0.859989423585405,1.10065272214805,1.58040816326531,1.243663356914,1.00508130081301,1.19359621287
"895","E07000121",0.851673349784084,1.12590011614402,1.55608542400995,1.15269151138716,1.0962962962963,1.11696577031134
"901","E07000122",0.633807735964376,1.03511846802986,1.26970189701897,1.02666465043601,0.991309669522644,1.2785645771032
"907","E07000123",1.18944717952572,1.17855082496827,0.996389730789802,0.983568075117371,0.888034787253576,1.2418653440743
"913","E07000124",0.869143998272884,1.26626672819566,0.884606716249718,1.11895952461038,1.10798548094374,0.997061829330608
"919","E07000125",1.3996359223301,1.43478260869565,1.55870967741935,1.010348583878,1.38620923913043,1.16690519807648
"925","E07000126",1.13515301902399,1.32169177194687,0.983402732977538,0.774984718826406,0.879120879120879,1.17347029583392
"931","E07000127",0.983292527947501,1.08213936103942,1.07712066905615,0.992755710278501,0.946855624446413,0.889146431199411
"937","E07000128",0.83303535790314,1.09645922746781,0.702172949002217,1.38263266039737,1.07453674786592,1.09682605436541
"943","E07000129",1.13886796663598,1.0872841673983,1.10876494023904,0.82090395480226,1.01873244243745,0.908890067161541
"949","E07000130",0.971185166624906,1.03965758838747,1.02010867239978,1.08190045248869,1.03351076007326,1.04917265134289
"955","E07000131",1.06471659702132,0.991590296495957,0.953667953667954,1.30569887429644,0.957883369330454,1.75443937087773
"961","E07000132",1.25713396400502,0.827487825274239,0.958049886621315,0.972396486825596,1.14268369269416,1.48326180257511
"967","E07000133",0.824611032531825,1.04039634146341,1.22557947019868,0.71982555398397,1.18987898789879,1.15139918679742
"973","E07000134",0.796519410977242,1.15732201102238,1.03927203065134,1.16442829053209,1.24290777576854,1.10925846937325
"979","E07000135",0.84896978021978,0.987550802139038,0.981195652173913,1.43831461595213,0.981165785751507,1.08813279530448
"985","E07000136",1.27405559515324,1.16604057099925,0.999405822935235,1.28614558872861,0.945060018467221,1.22809082098851
"991","E07000137",0.942851443150678,1.08967424600466,0.990114447874762,1.10736414423565,0.825899190845169,1.43725605333149
"997","E07000138",0.956255670396527,1.38400809716599,1.08585858585859,0.931679384121543,1.00487210718636,1.30856649348157
"1003","E07000139",0.950226244343891,1.3029702970297,0.893617021276596,1.18442203136081,1.10494054570965,1.22636577037985
"1009","E07000140",0.73489737902596,1.03531155545222,1.04054248507087,1.20670464217901,1.454123305278,1.09949295774648
"1015","E07000141",1.1252357337431,1.07875395179316,0.743793911007026,1.08334831056794,1.10211254237288,1.27025889795464
"1021","E07000142",0.661776575826919,0.856986151103798,1.25728770595691,1.09097782258065,1.09885297184567,1.22771077384731
